Z_RT_Busbar,Z_DA_Busbar,Z_RT_Hub,Z_DA_Hub,Z_DMB_Bus,Z_DMB_Hub
34.47688342459908,31.524922949619683,45.20949809999734,44.22085889126188,32.00203273837489,44.40540310249637
45.24438860187299,37.47200150348571,54.90834258335544,48.48928623249028,38.7949797816416,49.76098704938145
33.57745177021924,33.958121731101095,43.07889417861457,45.07173923203099,33.79994480199719,44.62490730230596
37.956792730121514,31.959447873548015,48.13283075427073,42.82955381927203,33.09429011135544,43.88846204680127
46.04759685248434,30.61475260174182,55.40483691705844,44.78164544027563,33.635644280498184,46.8854129714509
31.074065667486433,31.665298495337616,41.98336452627652,43.30083201638448,31.365003434209893,43.03136148407796
32.686184842294544,33.12859513713117,42.23349226526979,44.52936173319339,32.7957032670693,44.018871376087574
35.96489149789258,32.307933668587886,46.18598864723769,44.03073323096688,32.93220559665761,44.46108178262496
37.70236128912857,32.33918855779034,45.151964527023864,43.15605121412429,33.21504517217952,43.55437513779431
40.151820887287364,37.71820184375846,53.27266056140818,50.391490632445915,38.045496046370936,50.87398311940689
33.57613945381178,32.86053551639218,44.81438534734312,44.22796317614908,32.82792293083557,44.345247610387894
36.660240705224,31.69561574121319,43.43912976564733,40.857725876790816,32.50856013858645,41.2953697758784
29.303149829815734,29.199237571377854,39.63350755805485,40.08153394364743,29.137167276111906,39.92612782571767
33.1018293460955,32.88067666131748,44.361895013415854,44.41988770132784,32.717816196641365,44.34627049671932
28.086528089297627,28.442698360378326,40.127321964352376,40.37391064278504,28.21258475350823,40.28848715247754
33.6288213169868,33.36329731432664,42.3721776551286,44.121693768452126,33.2247279799519,43.70625303145775
32.32619555117953,32.49953728533568,39.83258457150552,42.89182247259155,32.43314092779788,42.22245498636805
31.996850799199294,29.996024184550915,42.6618038842231,41.80700604815796,30.228202199619624,41.96119483075717
31.66504578924042,33.35842379258537,40.41435219433082,43.78828303875174,32.90850551697669,43.06882733447494
33.40187274806058,30.378367814838786,41.230944512827264,41.08199406610849,30.936679316632087,41.04263495477317
36.82091961683464,31.81679608104825,47.05640648832228,42.786286618681565,32.70245035735734,43.58662583574322
35.58078000818827,32.03561650114428,47.03671599633965,42.21608531764632,32.609222260632855,43.174125442040534
42.16739633928708,34.44799822159271,50.67329298899119,44.9287179514109,35.8775747008507,46.05474540010174
32.98781509069025,34.24875339216284,42.687665092924966,45.85555711051013,33.85083912990023,45.113380966483966
31.17517169200914,33.58031695936549,41.04173102699044,44.748714509459084,32.84967929883784,43.95872917831773
34.35235564982618,32.98856770258446,44.67381690658682,44.29468984585286,33.0734913776279,44.34466694200124
32.46507398749918,32.66978626774319,43.60488202770915,42.97664534294938,32.50743448093571,43.07497881785598
33.608976536572946,32.32818259871975,43.9089154444123,44.536823473781894,32.376555453495385,44.37575448842429
30.418036522134084,31.54565905472845,41.075787035834814,43.824542860836296,31.23708363861761,43.23940789269421
34.78819878953503,34.994486288358075,42.33896888719237,45.05110170272346,34.86551416822298,44.45754707841704
37.068987357601706,33.71602245025883,43.820491005499335,43.33295324101557,34.26633737301454,43.393201515244584
36.63368300452415,29.77756716387122,47.012640338286225,42.82524326710077,30.968212050606663,43.63780936658511
37.39128907067895,34.73432745475085,48.559579210891464,47.68145113277241,35.111944000946224,47.8570767483962
32.07687044824686,31.590566590773495,40.22126041825147,43.48185197863498,31.522195809257557,42.78888491990644
34.34687146138744,34.29175178891312,43.564082868590276,45.54607460163034,34.16194462037761,45.12490905635753
30.710695488022335,31.880498914099196,41.59472535265382,44.001689141384524,31.507765667871414,43.48196696125591
29.068798832022697,31.82209221123969,40.69347755058574,43.273913752840734,31.159882563369315,42.74549064599458
35.45466131374651,37.38557375000871,48.30894799998481,48.330197027355204,36.81163242456434,48.2871755810176
36.091384979372265,35.36751281461857,44.40008487810684,45.61963399582796,35.313773070035715,45.375724172283746
31.53536576474459,28.959668308014084,40.97540648711868,39.81880403329254,29.383979179138247,40.03165728412113
35.6670486169214,33.272768153889906,42.3823827896874,43.321376436063986,33.61857779609719,43.01098235812919
32.63947178636303,30.613411580462543,48.75553045843266,45.97044254341547,30.87644954148846,46.50647695652385
51.068882072479255,33.407074368590614,60.64494709077209,43.94371675069892,36.79358592003218,47.21601083882426
32.29394523906154,34.83559177887187,41.54241059691123,47.71490476322672,34.07240416874975,46.36958263937679
36.34436798711118,30.85945133740455,47.00855973730915,41.8505262085833,31.8294245632897,42.868674136818846
33.13464056811569,36.43919860405361,44.51715638371783,47.61818380439902,35.49271664943975,46.9028392770604
29.115891776198424,30.510221195059117,38.82776105325668,43.60398050070785,30.07503282207713,42.6138101393186
29.42636386697128,32.69926743726673,41.61979919298123,43.786413442099935,31.85090757611192,43.30093759830375
32.303496852650895,33.35727088442259,44.142089354888185,45.97148186343791,32.924682160640266,45.60133940365938
35.85026808211541,34.018517558386975,43.838533135602226,44.67726723764853,34.189123416895534,44.40418968329504
39.45297992825348,35.222898113896115,50.52896678281418,47.327615979348245,35.95651352141289,47.95383269420141
31.04036599076093,32.31091058110559,41.326133174714236,44.93315637714109,31.785910053256657,44.186167598397795
36.56053663210201,35.572454128062034,43.49447640801881,45.34265763180156,35.617305808232324,44.81631081578025
40.20756783463455,33.48801661101926,49.1082268110963,46.01993590884007,34.56460685291937,46.563754428668034
32.433483009096754,29.488906111769086,43.52347602057857,42.292723305935844,29.934995479428004,42.42318351102188
33.79502515490815,35.01876749636435,46.87644254261087,48.86297172696628,34.59536242912962,48.43799961369026
42.43263721682114,35.80517247142168,49.296571209166224,46.41835255385762,37.037949289131255,46.95461756071499
28.830526330394513,29.603467127898025,40.44123730843124,43.16830272480931,29.25607676814692,42.46313398264669
36.95399305777055,31.934552311056315,48.37554945429164,42.97764579740112,32.811327625058865,43.97007311020481
34.99740802943194,34.38021858692157,44.13219156561463,45.22634768535366,34.32860774515802,44.99965416007361
29.144507848957808,32.13505401955527,38.860360589879505,43.70759789185185,31.46788049199383,42.68684220518363
32.147157008061406,31.287476467007618,40.554046022784945,41.28421054597548,31.303588679982926,41.048813609404625
33.84507113162265,31.500913911043227,42.116097706441664,42.324053906702225,31.883756570292206,42.1850211980103
32.17503486538283,37.50933136185565,41.085194230740164,48.081062555675565,36.25168846149551,46.5672439175798
29.719498789631103,34.31351810268011,39.414982738338246,44.431648147454176,33.244934024993675,43.342422746691824
36.16903659809678,32.88957424274284,46.35110087049023,45.488499862654834,33.34964936362467,45.66102006422191
31.73161305430675,30.981772491423687,42.42290999703909,41.97514557789054,30.914661447748294,42.05107249158998
31.07047837642961,32.97222969246959,41.59973401158606,43.81742326138465,32.43462255648345,43.368692504668395
32.423542168999525,33.04982996040854,40.90571381959544,44.39601233010521,32.78205439907657,43.40661372333787
31.312370849025218,33.58083936802121,44.13783202428439,46.283259033197254,33.00567390174942,45.85417363141467
30.162549584113073,29.79362937265734,42.339212290039455,42.99633500004613,29.60762505086247,42.53333709907851
36.51894076658015,35.98268372404147,44.162856744931915,45.38834352741736,35.97787688042563,45.10178256986412
36.87640592344277,33.250789555670636,46.43686058233129,43.754280224971,33.89416497085125,44.254989102883414
33.28480022414877,31.224491323828897,44.6682288008773,43.00030355030236,31.426823806985617,43.216589985258345
30.077860961681136,31.078251738912588,39.58837721082086,42.679596781288716,30.828201823253274,41.942411740937004
36.9801934656354,37.63070923005574,43.28352296362005,46.34760679872632,37.43244967865069,45.71498639522847
43.47018479822428,35.86720508836567,52.17375702131739,45.567815434400956,37.274525688430465,46.862970440206425
36.19180902404215,28.701140583470075,46.681672630545876,42.328436817073296,29.99712750840174,43.18277370023533
36.06116919695401,33.57545095626569,48.11703010903777,45.57309693552993,33.95205207718668,46.05239077558826
34.79781055597324,34.57674570257534,43.34115582958314,43.824931389114745,34.42455635821816,43.70706083344659
31.131029098724916,30.870279401808045,43.59608387694734,41.969703254604475,30.67439100104376,42.294979379073055
34.7569379260232,30.790496129780276,44.6478858360211,42.53553134763747,31.27110297461861,42.95050076526602
26.365938884186605,29.831605977011833,38.17089702437949,42.30476008659351,28.98601692281993,41.43641500008384
34.05085336568595,33.06617796333041,43.35440660301041,44.73468171776517,33.147883346143566,44.41129111258749
29.844203900250903,31.44589977084514,40.3193559914582,42.716705594958015,30.988811676500784,42.213217218194565
34.80307574404323,31.529721931611636,43.95474717568881,43.78246014842986,32.102700663506226,43.79032118259116
36.60646328276449,33.22409592689973,44.73963672902054,43.90789235824389,33.646890023273585,43.909404039235085
32.46247512179074,31.888041186765886,42.26748991735329,41.58003668769746,31.790744283910026,41.62273927899683
33.874179829277026,33.03048127640486,40.300343809388814,43.44376455144063,32.98579354245431,42.79446026490386
33.49737354003513,32.29328716438635,42.26525991230394,44.72743355466289,32.291610295547066,44.103873622799675
37.281391659063196,33.74727021757539,48.03438904242006,46.07626522611528,34.27943859607024,46.44891583605776
42.78319011438727,32.87013708422213,52.901709918853506,42.88473230092265,34.661521364039274,44.859074255492864
34.1986535172984,32.22928163443141,42.84406692909962,43.22361328459048,32.44824452536944,43.07615716806056
32.211503830692244,34.291758819719206,41.03386575740456,45.2857524177417,33.72201267042096,44.373052273250586
27.00355922214431,30.014801009044046,37.598952205988034,42.05993626915756,29.217911889129553,41.131309280993854
28.792074128285304,30.74833822356188,39.48634283425195,43.46742498970433,30.172795748820313,42.62409792637556
